March 1 2017 Xuhui Air Quality Data,,,
Hour,PM2.5 (ug/m3),CO2 (ppm),AHR
1110,44,400,0.0065
1111,44,400,0.0067
1112,40,400,0.0061
1113,37,400,0.0055
1114,35,400,0.0047
1115,33,400,0.0031
1116,27,400,0.0021
1117,27,400,0.002
1118,34,400,0.0018
1119,37,400,0.0017
1120,38,400,0.0016
1121,39,400,0.0015
1122,38,400,0.0016
1123,39,400,0.0016
1124,44,400,0.0021
1125,43,400,0.0022
1126,50,400,0.002
1127,52,400,0.0025
1128,46,400,0.0032
1129,48,400,0.0039
1130,49,400,0.0046
1131,48,400,0.0047
1132,51,400,0.0054
1133,54,400,0.0063
1134,56,400,0.0067
1135,66,400,0.0075
1136,62,400,0.0078
1137,55,400,0.0076
1138,52,400,0.0058
1139,55,400,0.0043
1140,54,400,0.0036
1141,54,400,0.0031
1142,56,400,0.0027
1143,61,400,0.0022
1144,60,400,0.0018
1145,66,400,0.0018
1146,71,400,0.0019
1147,67,400,0.0019
1148,79,400,0.0024
1149,71,400,0.0029
1150,68,400,0.0031
1151,67,400,0.0034
1152,60,400,0.0044
1153,63,400,0.0057
1154,63,400,0.0063
1155,69,400,0.0072
1156,74,400,0.0084
1157,81,400,0.0084
1158,83,400,0.009
1159,81,400,0.0093
1160,80,400,0.009
1161,80,400,0.0088
1162,78,400,0.0068
1163,64,400,0.0054
1164,53,400,0.0056
1165,39,400,0.0059
1166,33,400,0.0059
1167,39,400,0.0055
1168,49,400,0.0067
1169,50,400,0.0067
1170,71,400,0.0065
1171,101,400,0.007
1172,81,400,0.0067
1173,78,400,0.0061
1174,81,400,0.0061
1175,86,400,0.0065
1176,87,400,0.0077
1177,79,400,0.0076
1178,79,400,0.0076
1179,74,400,0.0073
1180,74,400,0.0071
1181,67,400,0.0076
1182,72,400,0.0064
1183,74,400,0.0057
1184,62,400,0.0063
1185,62,400,0.0061
1186,73,400,0.0051
1187,69,400,0.0051
1188,72,400,0.0043
1189,58,400,0.0032
1190,54,400,0.0027
1191,51,400,0.0019
1192,54,400,0.002
1193,54,400,0.0021
1194,51,400,0.0023
1195,51,400,0.0023
1196,60,400,0.0025
1197,66,400,0.0026
1198,70,400,0.0022
1199,77,400,0.0023
1200,85,400,0.0024
1201,81,400,0.0034
1202,105,400,0.0046
1203,113,400,0.0063
1204,149,400,0.0072
1205,162,400,0.0077
1206,142,400,0.0077
1207,130,400,0.0078
1208,128,400,0.0078
1209,105,400,0.0068
1210,109,400,0.0058
1211,69,400,0.0046
1212,56,400,0.0036
1213,55,400,0.003
1214,52,400,0.0026
1215,49,400,0.0024
1216,43,400,0.0024
1217,40,400,0.0021
1218,37,400,0.0025
1219,32,400,0.003
1220,29,400,0.0029
1221,28,400,0.0032
1222,29,400,0.0033
1223,27,400,0.0045
1224,33,400,0.0049
1225,32,400,0.0053
1226,39,400,0.006
1227,38,400,0.0062
1228,38,400,0.0064
1229,35,400,0.0073
1230,40,400,0.0084
1231,38,400,0.0081
1232,35,400,0.0082
1233,37,400,0.0079
